@relation dataset

@attribute ID numeric
@attribute Time date 'yyyy/MM/dd HH:mm:ss:SSS'
@attribute 'Training round' numeric
@attribute inputs-1 numeric
@attribute outputs-1 {0,1,2}

@data
368,'2016/04/28 17:47:18:215',1,0,1
369,'2016/04/28 17:47:18:232',1,3.800417,1
370,'2016/04/28 17:47:18:250',1,0,1
371,'2016/04/28 17:47:18:267',1,1.367562,1
372,'2016/04/28 17:47:18:285',1,0,1
373,'2016/04/28 17:47:18:301',1,0.829551,1
374,'2016/04/28 17:47:18:318',1,0,1
375,'2016/04/28 17:47:18:335',1,1.165748,1
376,'2016/04/28 17:47:18:351',1,1.550542,1
377,'2016/04/28 17:47:18:367',1,0.815063,1
378,'2016/04/28 17:47:18:383',1,0,1
379,'2016/04/28 17:47:18:403',1,2.968443,1
380,'2016/04/28 17:47:18:424',1,2.95084,1
381,'2016/04/28 17:47:18:441',1,0,1
382,'2016/04/28 17:47:18:458',1,3.733571,1
383,'2016/04/28 17:47:18:475',1,0,1
384,'2016/04/28 17:47:18:493',1,2.630576,1
385,'2016/04/28 17:47:18:510',1,0,1
386,'2016/04/28 17:47:18:528',1,5.625105,1
387,'2016/04/28 17:47:18:545',1,0,1
388,'2016/04/28 17:47:18:562',1,5.656897,1
389,'2016/04/28 17:47:18:579',1,0,1
390,'2016/04/28 17:47:18:596',1,10.381944,1
391,'2016/04/28 17:47:18:613',1,0,1
392,'2016/04/28 17:47:18:631',1,7.266302,1
393,'2016/04/28 17:47:18:649',1,0,1
394,'2016/04/28 17:47:18:667',1,5.05604,1
395,'2016/04/28 17:47:18:683',1,0,1
396,'2016/04/28 17:47:18:703',1,7.751194,1
397,'2016/04/28 17:47:18:720',1,0,1
398,'2016/04/28 17:47:18:739',1,5.946732,1
399,'2016/04/28 17:47:18:757',1,0,1
400,'2016/04/28 17:47:18:774',1,7.286163,1
401,'2016/04/28 17:47:18:792',1,6.712762,1
402,'2016/04/28 17:47:18:808',1,0,1
403,'2016/04/28 17:47:18:823',1,6.720134,1
404,'2016/04/28 17:47:18:840',1,0,1
405,'2016/04/28 17:47:18:858',1,7.669028,1
406,'2016/04/28 17:47:18:875',1,0,1
407,'2016/04/28 17:47:18:893',1,6.935131,1
408,'2016/04/28 17:47:18:911',1,0,1
409,'2016/04/28 17:47:18:931',1,6.86135,1
410,'2016/04/28 17:47:18:950',1,0,1
411,'2016/04/28 17:47:18:964',1,7.513762,1
412,'2016/04/28 17:47:18:981',1,0,1
413,'2016/04/28 17:47:18:999',1,7.745676,1
